第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
鉴于迄今收到的提名很少，我还打算将资格期限放宽到2007年1月1日，即我就职担任秘书长之日。	In view of the small number of nominations received to date, I also intend to extend the period of eligibility for the award of the Medal to 1 January 2007, which marks the beginning of my tenure as Secretary-General.
同时，秘书处与有关会员国进行了协商，根据协商结果，我提议对我原先的提案作出两方面修正：授勋仪式的日期；首次授勋的资格期限。	In parallel, the Secretariat has conducted consultations with interested Member States, as a result of which I propose to amend two aspects of my original submission: the date of the award ceremony and the period of eligibility for the first award.
原则上，人类选择是无限的，而且随时变化。	In principle, human choices can be infinite and change over time.
6. 峰会收到了联合国秘书长大湖区问题特使赛义德·吉尼特的报告。	6. The Summit received a report from the Special Envoy.
作为对内部审计的补充，这些为期半天的培训已在2014年的多次外地办事处审计访问期间开展。	As a complement to its internal audits, these half-day training sessions were conducted during a number of its 2014 audit missions to field offices.
结果，工作计划有关工程和环境方面的活动的主要目标是在审查通过直布罗陀海峡永久通道的可行性研究方面取得进展，依据现有数据以及已经取得和即将取得的专门知识更新对该项目的技术定义，其办法是开展下列研究：	As a result, the main goal of the workplan activities related to engineering and the environment is to make progress in the studies examining the feasibility of the fixed link through the Strait of Gibraltar and to update the technical definition of the project in the light of available data and expertise gained or to be gained, by carrying out studies to:
这个基本选项，是在1996年确定的，需接受一个初步试点项目的考验，曾经参照新近得到的地质和岩土数据于2007年加以修订，并在项目全面评价的框架内进行评价。	This basic option, identified in 1996, was subject to a preliminary pilot project, which was updated in 2007 in the light of newly acquired geological and geotechnical data, and was then evaluated within the framework of an overall evaluation of the project.
国际数据中心的任务是，通过提供进行有效全球监测所需的产品和服务，协助缔约国履行核查责任。	14. The mission of the International Data Centre is to support the verification responsibilities of States by providing products and services necessary for effective global monitoring.
国际监测系统监测站所收集到的数据通过全球通信基础设施传送到国际数据中心，并提供给各国家数据中心。	The data collected by the International Monitoring System stations are transmitted via the Global Communications Infrastructure to the International Data Centre and are made available to national data centres.
论坛建议联合国开发计划署、联合国人口基金和联合国伙伴关系办公室咨询委员会以及联合国其他相关机构采取必要措施，解决发达国家土著人民的特殊情况。	The Forum recommends that the United Nations Development Programme, the United Nations Population Fund and the Advisory Board of the United Nations Office for Partnerships and other relevant United Nations agencies take necessary measures for addressing the special situation of indigenous peoples in developed countries.
各国在按照《联合国宪章》和国际人权法保护、促进和落实所有人权方面负有首要责任和义务，而且必须避免一切形式的歧视。	Each State has a prime responsibility and duty to protect, promote and implement all human rights, consistent with the Charter of the United Nations and international human rights law; furthermore, all forms of discrimination must be avoided.
强调需要更加有效和高效地送交人道主义援助，包括通过加强秘书长特别代表领导下的联合国各机构、基金和方案之间的协调以及联合国与其他捐助方之间的协调，特别是在最需要的地方这样做，欢迎设立联合国共同人道主义基金，支持阿富汗政府在协调向其公民提供的人道主义援助方面发挥不可或缺的作用，	Stressing the need to further improve the efficient and effective delivery of humanitarian assistance, including through enhanced coordination among the United Nations agencies, funds and programmes under the authority of the Special Representative of the Secretary-General and between the United Nations and other donors, especially where it is most needed, welcoming the establishment of the United Nations Common Humanitarian Fund, and supporting the Afghan Government's essential role in the coordination of humanitarian assistance to its citizens,
欢迎巴黎公约倡议作为打击源于阿富汗的鸦片的最重要框架目前所开展的工作，注意到《维也纳宣言》，强调巴黎公约倡议的目标是建立一个打击非法鸦片贩运的广泛国际联盟，将其作为在阿富汗、该区域和其他地方实现和平、稳定和发展全面办法的一部分，	Welcoming the ongoing work of the Paris Pact Initiative as one of the most important frameworks in the fight against opiates originating in Afghanistan, taking note of the Vienna Declaration, and emphasizing the aim of the Paris Pact to establish a broad international coalition to combat the traffic of illicit opiates, as part of a comprehensive approach to peace, stability, and development in Afghanistan, the region and beyond,
考虑到该司现有的人员配置资源和拟议评价任务的少量增加，行预咨委会认为改派1个额外员额就已足够。	Taking into consideration the existing staffing resources of the Division and the modest increase in evaluation assignments proposed, the Advisory Committee is of the view that the reassignment of one additional post would be sufficient.
差异	Variance
要取得进展离不开有意愿的合作伙伴，我们鼓励俄罗斯和我们一起谈判订立实现第六条所载承诺的上述后续步骤。	Progress requires a willing partner and we encourage Russia to join us in negotiating these next steps toward meeting our Article VI commitment.
这些资金流动还选择目的地，而且有时极不稳定。	Those flows are also selective in their destination and sometimes highly unstable.
津巴布韦	Zimbabwe
南苏丹特派团得知，由于财政制约因素，琼格莱州和西赤道州的法院打算关闭或无法有效运作。	In Jonglei and Western Equatoria States, UNMISS was informed of the intended closure or effective nonfunctioning of courts due to financial constraints.
其中共有11起事件得到确认，涉及1 698名儿童(921名男孩和777名女孩)。	In total, 11 of those incidents, affecting 1,698 children (921 boys and 777 girls), were verified.
原子能机构一直在实施的杜塞尔多夫核应用实验室翻新项目，旨在使这些设施达到最先进水平，提供与目的相符的实验室，以使该机构更好地履行其和平利用核能授权。	The IAEA's ongoing Renovation of the Nuclear Applications Laboratories at Seibersdorf (ReNuAL) project aims bring these facilities up to date by providing fit-for-purpose laboratories that will enable the Agency to better fulfill its peaceful uses mandate.
大会要求采取的行动	Actions required by the Conference
欢迎法语国家国际组织为了实现其目标，采取措施加强同联合国系统各组织以及其他国际和区域组织的联系，	Welcoming the steps taken by the International Organization of la francophonie to strengthen its ties with the organizations of the United Nations system and with international and regional organizations with a view to attaining its objectives,
由于这些非法和不道德的行动，当地非政府组织一直不能向有需求的平民提供水、粮食或医疗服务。	As a result of these illegal and immoral actions, local non-governmental organizations have been unable to deliver water, food or medical care to civilians in need.
谅解备忘录第7段规定，全球环境基金理事会将编写并向缔约方大会各次常会提交定期报告。	Paragraph 7 of the memorandum of understanding states that the Council of the Global Environment Facility will prepare and submit regular reports to the Conference of the Parties at each ordinary meeting of the Conference of the Parties.
3. 决定将南苏丹特派团的任务期限延至2015年11月30日；	3. Decides to extend the mandate of UNMISS until 30 November 2015;
第一次会议讨论了安理会工作中的一系列差距。	The discussion in session I underscored a series of gaps in the work of the Council.
14. 我呼吁有关地区的居民保持平静，因为本国稳定的安全局势将使选举得以在和平与平静的氛围中举行。	14. I appeal for calm from the population of the districts concerned, as the stable security situation in the country will allow the elections to take place in peace and calm.
一切荣耀永归上帝。	All honour and glory be to Him forevermore.
经济及社会理事会主席给妇女地位委员会主席的信	Letter from the President of the Economic and Social Council to the Chair of the Commission on the Status of Women
高级行政官员，负责处理摩洛哥侨民事务的副国务秘书处的工作；	Senior Administrator in charge of the functioning of the under-secretariat dealing with the Moroccan community residing abroad;
接受访谈和调查的工作人员和利益攸关方还表示，加大力度倡导捐助方提供更多、更灵活的资金，倡导安置国扩大配额，及原籍国为回返者创造更好的环境，都能消除围绕解决方案的一些障碍。	Staff and stakeholders interviewed and surveyed also said that enhanced advocacy with donors for increased and more flexible funding, with resettlement countries for higher quotas and with countries of origin to develop more welcoming environments for returnees could address some of the obstacles around solutions.
33. 妇女署的经过修订的重大政府间会议筹备方法为取得规范性成果做出了贡献。	33. The Entity's revised approach towards the preparation of strategic intergovernmental meetings has contributed to the achievement of normative outcomes.
法律和政策改革科	Legal and Policy Reform Section
伊朗认为必须警告有关方面不得以外交馆舍和代表为目标 -- -- 那是公然违反国际法的行为。	Iran deems it necessary to warn against any targeting of diplomatic premises and representatives, which is in flagrant violation of international law.
巴西常驻联合国代表团向安全理事会第2140(2014)号决议所设委员会主席致意，谨随函提交巴西关于第2204(2015)号决议执行情况的报告(见附件)。	The Permanent Mission of Brazil to the United Nations presents its compliments to the Chair of the Security Council Committee established pursuant to resolution 2140 (2014) and has the honour to submit the report of Brazil on its implementation of resolution 2204 (2015) (see annex).
威胁真实存在，危险迫在眉睫。	The threats are very real and the danger is imminent.
实现性别平等和增强妇女权能是妇女署的核心使命，其所有优先工作领域都涉及这项内容。	The achievement of gender equality and the empowerment of women is central to the mandate of UN-Women and is addressed across all its priority areas of work.
该方案将提供全盘领导，加强此类协调机制，并将继续促进和加强联合国系统内对性别平等和增强妇女权能的问责，包括协助联合国实体执行联合国性别平等和增强妇女权能全系统行动计划。	It will provide overall leadership, strengthen such mechanisms and continue to promote and enhance accountability for gender equality and the empowerment of women in the United Nations system, including by assisting United Nations entities with the implementation of the System-wide Action Plan on Gender Equality and the Empowerment of Women.
委员会继续收到关于为支持国际年而开展的活动的资料。	The Committee continues to receive information on activities undertaken in support of the International Year.
现在，除了通信线路之外，其余所有服务均由科索沃警察负责。	Besides the communication link, all other services are now the responsibility of the Kosovo police.
审计委员会还表示打算在下一个审计周期更详细地调查这一事项。	The Board also noted its intention to pursue this matter in greater detail during the next audit cycle.
小计2	Subtotal, 2
一. 导言	I. Introduction
安全理事会第2140(2014)号决议所设委员会	Security Council Committee established pursuant to resolution 2140 (2014)
定于2015年3月16日星期一下午3时非公开举行	To be held in private on Monday, 16 March 2015, at 3 p.m.
定于2015年4月28日星期二上午10时举行	To be held on Tuesday, 28 April 2015, at 10 a.m.
大会随后决定，"人居三"会议将在2016年10月17日那一周于基多举行，而联合国住房与可持续城市发展会议筹备委员会第三届会议(人居三)将于2016年7月在印度尼西亚举行。	The General Assembly subsequently decided that Habitat III would be held in Quito during the week of 17 October 2016 and that the third session of the Preparatory Committee for the United Nations Conference on Housing and Sustainable Urban Development (Habitat III) would be held in Indonesia in July 2016.
24. 2014年12月，人居署发起了一个多方利益攸关方倡议，以制定城市气候行动计划准则，目标是在将2015年12月于巴黎举行的缔约方会议第二十一届会议期间确定为1.0版的推出时间。	24. In December 2014, UN-Habitat launched a multi-stakeholder initiative to develop guidelines for city climate action plans, with a target launch date for version 1.0 planned for December 2015, at the twenty-first session of the Conference of the Parties to the United Nations Framework Convention on Climate Change in Paris.
11. 亚太贸易协定常设委员会	11. Asia-Pacific Trade Agreement Standing Committee
a 按支出计算	a On the basis of expenditures.
指出本决议重点关注非法转让、不利于稳定地积累和滥用小武器和轻武器问题，包括涉及安理会规定的武器禁运的问题，	Noting that this resolution focuses on the illicit transfer, destabilizing accumulation and misuse of small arms and light weapons, including in respect of Council-mandated arms embargoes,
9. 重申安理会有责任监测它规定的武器禁运的执行情况，并重申它打算在必要时采取适当措施，加强武器禁运监测机制，包括在联合国相关特派团指定专职人员或监测单位，以有效地监测武器禁运；	9. Reaffirms its responsibility to monitor the implementation of Council-mandated arms embargoes and reaffirms its intention to take appropriate measures, when needed, to strengthen arms embargo monitoring mechanisms including inter alia through assigning dedicated staff, monitoring units to relevant United Nations Missions to effectively monitor arms embargoes;
克里米亚过去是、现在是、将来仍然是乌克兰主权领土不可分割的一部分。	Crimea was, is and will remain an integral part of the sovereign territory of Ukraine.
安全理事会敦促所有各方不再使用军事力量，不发动进攻性军事行动和使用其他形式的暴力。	The Security Council urges all sides to refrain from any further use of military force, any offensive military actions and other uses of violence.
同样值得一提的是，联合国及其所有机构始终遵循以波斯湾这一正确名称作为本水域唯一地理称谓的政策和做法。	It is also noteworthy that the United Nations and all of its agencies have always had the policy and practice of using the correct name, i.e., Persian Gulf, as the only geographical designation applicable to this body of water.
美国也是《南太平洋无核区条约》、《非洲无核武器区条约》》和《中亚无核武器区条约》相关《议定书》的签字国，并已将这些《议定书》提交美国参议院，供提供咨询意见并同意批准。	The United States also is a signatory to the relevant Protocols to the South Pacific Nuclear Free Zone Treaty, the African Nuclear-Weapon-Free Zone Treaty, and the Treaty on a Nuclear-Weapon-Free Zone in Central Asia, and has submitted these Protocols to the United States Senate for its advice and consent to ratification.
我们期待有关被剥夺自由儿童的这方面全球研究成果；	We look forward to the results of the global study on children deprived of their liberty in this regard;
11. 我们继续努力实现本宣言所提出的目标，增进国际合作，维护法治以及确保我们的预防犯罪和刑事司法系统是有效、公正、人道和问责的，与此同时，我们重申适当、长期、可持续和有效技术援助及能力建设政策与方案的重要性。	11. As we continue our efforts to achieve the objectives set forth in this Declaration, to enhance international cooperation, to uphold the rule of law and to ensure that our crime prevention and criminal justice systems are effective, fair, humane and accountable, we reaffirm the importance of adequate, long-term, sustainable and effective technical assistance and capacity-building policies and programmes.
本增编开列了安全理事会在2015年4月18日终了的一周内采取行动的项目。	The present addendum lists the items on which the Security Council took action during the week ending 18 April 2015.
妇女与和平与安全(2000年10月24日；2015年4月15日)	Women and peace and security (24 October 2000; 15 April 2015)
2. 有关刚果民主共和国的局势	2. The situation concerning the Democratic Republic of the Congo
重申《社会发展问题哥本哈根宣言》、 《社会发展问题世界首脑会议行动纲领》 和其他相关的国际商定文书以及关于这个问题的全球持续对话构成了在国家和国际两级促进惠及所有人的社会发展的基本框架，	Reaffirming that the Copenhagen Declaration on Social Development, the Programme of Action of the World Summit for Social Development and other relevant internationally agreed instruments constitute, together with the global dialogue on this issue, the basic framework for the promotion of social development for all at the national and international levels,
鉴于在关于过渡后时期《宪法》制宪原则的第一章第7(1)条所涉具体问题上，委员会主席团注意到对总统选举方式没有达成一致意见，总统职位政治轮换制被认为不可行，在民主意义上不可持续，甚至会造成不稳定；	Whereas, on the matter specifically of article 7 (1) of chapter I on the constitutional principles for the Constitution of the post-transition period, the Bureau of the Committee notes that no agreement was obtained on the mode of election of the President, as the system of politically alternating presidents was considered unworkable, democratically unsustainable or even a source of instability;
其他案文，特别是1991年2月全民投票通过的民族团结宪章，也对布隆迪起草人有所启示但并不因此超越宪法；	And other texts, notably the national unity charter adopted by referendum in February 1991, inspired the Burundian drafter without thereby becoming supraconstitutional;
9. 周转基金状况。	9. Status of the Working Capital Fund.
和平利用外层空间的国际合作问题全体工作组(续)	Working Group of the Whole on international cooperation in the peaceful uses of outer space (continued)
15.94 本次级方案预计能实现其目标和预期成绩，前提是：(a) 发展机构、金融机构、各国政府和私营部门有支持计划工作的持续兴趣和意愿；(b) 参与城市、区域和国家具有政治稳定性、决心、诚意和善治的条件。	15.94 The subprogramme is expected to achieve its objectives and expected accomplishments on the assumption that: (a) there will be continued interest and willingness by development agencies, financial institutions, national Governments and the private sector to support the planned work; and (b) there will be political stability, commitment, goodwill and conditions for good governance in the participating cities, regions and countries.
2014-2015年核定资源a	Approved resources for 2014-2015a
安全理事会第7429次(闭门)会议正式公报	Official communiqué of the 7429th (closed) meeting of the Security Council
尽管武器禁运(在大多数情况下包括轻小武器)是联合国最常用的制裁措施，但仍难以顺利执行。	While arms embargoes, which in most cases include small arms and light weapons, are the most frequently applied United Nations sanctions measure, their successful implementation remains a challenge.
胡塞民兵及其同盟的所有侵犯行为与其自也门危机以来持续实施暴力的行径如出一辙，也与其拒绝回到合法状态和遵守安全理事会有关决议特别是第2216(2015)号决议的态度一脉相承。	All violations committed by the Houthi militias and their allies are consistent with their continued violence since the beginning of the crisis in Yemen, and their refusal to return to legitimacy and abide by the relevant Security Council resolutions, in particular resolution 2216 (2015).
4. 回历1436年7月24日(公历2015年5月13日)19时30分，胡塞恐怖团体的10名成员企图从236号界碑对面进入沙特阿拉伯领土。	4. At 1930 hours on 24 Rajab A.H. 1436 (13 May A.D. 2015), 10 members of the Houthi terrorist group attempted to infiltrate Saudi Arabian territory opposite border marker 236. (Jazan sector 3)
2015年5月8日政府新闻稿	Government press release of 8 May 2015
16. 邀请区域组织考虑与国际刑事法院缔结合作协定；	16. Invites regional organizations to consider concluding cooperation agreements with the International Criminal Court;
承认国际刑事法院在依照《罗马规约》调查和审理罗马规约缔约国和安全理事会移交的以及国际刑事法院检察官自行立案的各种局势和案件方面，取得了重大进展，	Acknowledging the fact that the International Criminal Court has achieved considerable progress in its investigations and judicial proceedings in various situations and cases which were referred to it by States parties to the Rome Statute and by the Security Council, and which the Prosecutor of the International Criminal Court has initiated proprio motu, in accordance with the Rome Statute,
行预咨委会还建议大会请秘书长借鉴因执行全球外勤支助战略而提供共享服务所取得的经验以及迄今在这方面吸取的经验教训和开展的工作，包括秘书长最近的各项提议。	The Committee further recommends that the General Assembly request the Secretary-General to build on experience gained in the provision of shared services as a result of the implementation of the global field support strategy, the lessons learned and the work done thus far in this regard, including the Secretary-General's latest proposals.
战略指导，业务政策和导则制订，业务标准和系统标准化，新特派团规划，监督和遵守，质量保证，高级领导，外地能力建设，决策的实地宣传，会员国沟通	Strategic direction, operational policy and guidance development, operational standards and systems standardization, new mission planning, oversight and compliance, quality assurance, senior leadership, field capacity-building, field advocacy in policy decisions, Member State interaction
11. 2月16日，委员会与联合国人权事务高级专员扎伊德·拉阿德·侯赛因举行了会议，并就极端主义对妇女权利的影响以及委员会的工作语文和资源等问题交换了意见。	11. On 16 February, the Committee met with the United Nations High Commissioner for Human Rights, Zeid Ra'ad Al Hussein, and exchanged views on the impact of extremism on women's rights and the Committee's working languages and resources.
49. 利比亚局势(2011年2月22日；2015年3月27日)。	49. The situation in Libya (22 February 2011; 27 March 2015).
每个项目注明的日期指的是安理会首次在正式会议上讨论该项目的日期以及安理会最近一次就该项目举行正式会议的日期。	The dates given for each item indicate when the item was first taken up by the Council at a formal meeting, and the most recent formal Council meeting held on that item.
这些部队一旦充分投入运作，即可为应对非洲危机提供一个关键的启动能力，发挥连接机制的作用，需要时甚至可以开展执法行动。	Once fully operational, those forces could provide a critical start-up capacity for responding to African crises as bridging mechanisms, as well as for providing enforcement action, if required.
北约驻科索沃国际安全部队(驻科部队)与科索沃特派团一道作为国际安全力量进行部署，部队在实地保持大约5 000人的兵力，在科索沃警察和欧盟驻科法治团之后发挥第三应急反应部队的作用。	The NATO International Security Force in Kosovo (KFOR), deployed as the international security presence alongside UNMIK, maintains some 5,000 troops on the ground and performs the role of the third emergency responder, after the Kosovo Police and EULEX.
b 下列来源的预算外资源：作为中央行政机构为预算外活动、基金和方案提供的服务的偿还款的方案支助收入；技术合作偿还款；企业资源规划项目供资的相关份额。	b Extrabudgetary resources derived from programme support income received as reimbursement for the services provided by the central administration for extrabudgetary activities, funds and programmes, from technical cooperation reimbursement resources and the related share of funding of the enterprise resource planning project.
《大湄公河次区域跨界运输协定》附件一(运输危险货物)也要求跨界运输实行《示范条例》和《欧洲国际道路运输危险货物协定》。	Annex I (Transport of dangerous goods) of the Greater Mekong Subregion Cross-Border Transport Agreement also requires the use of the Model Regulations and the European Agreement concerning the International Carriage of Dangerous Goods by Road for cross-border transport.
供应链事务处(原综合支助事务处)	Supply Chain Services (former Integrated Support Services)
议程项目33	Agenda item 33
按照这一多年方案，委员会在每届预防犯罪和刑事司法大会之后举行的第一届会议上，会转递该大会的成果和建议，还会开始就筹备下届大会进行磋商。	Under this multi-year programme, the first session of the Commission following a congress would transmit the outcomes and recommendations of the congress and begin consultations on preparation for the next congress.
2014-2015年批款	Appropriation for 2014-2015
2013年和2014年，一些持有学生签证的伊朗人在所涉国家设立了八个不同的空壳公司，以便使用伊朗伊斯兰共和国中央银行在一个国有银行账户中至少1.5亿美元的石油出口收入。	Several Iranians holding student visas set up eight separate shell companies in the State concerned in 2013 and 2014 in order to access at least $150 million of oil export revenues in accounts held by the Central Bank of the Islamic Republic of Iran at a State-owned bank.
因此，主席特此分发已经收到的专家小组2015年6月1日的报告(见附件)。	Accordingly, the President hereby circulates the report dated 1 June 2015 received from the Panel of Experts (see annex).
考虑有关枪支贩运跨国性质和所用路线的研究成果（续）	Consideration of the outcomes of the study of the transnational nature of and routes used in trafficking in firearms (continued)
25. 委员会将在执行局的协助下，继续与反恐怖主义执行工作队相关实体、安全理事会相关附属机构、及相关国际、区域和次区域组织密切合作，在考虑到第2178(2014)号决议规定的新要求情况下，以提高会员国全面执行第1373(2001)和第1624(2005)号决议的能力及协助提供技术援助。	25. The Committee, assisted by the Executive Directorate, will continue its close cooperation with the relevant entities of the Counter-Terrorism Implementation Task Force, relevant Security Council subsidiary bodies and relevant international, regional and subregional organizations aimed at enhancing the capacity of Member States to fully implement resolutions 1373 (2001) and 1624 (2005), taking into account the new requirements set out in resolution 2178 (2014), and at facilitating the delivery of technical assistance.
将案文改为：	Replace the text with the following:
卡塔尔国是第三十五届海湾阿拉伯国家合作委员会主席，我谨提请你注意下列事项：	The State of Qatar being the Chair of the thirty-fifth session of the Cooperation Council for the Arab States of the Gulf, I write to bring to your attention the following:
这再次表明，胡塞民兵继续无视国际法的合法性，拒绝参与也门的政治进程，造成也门危机严重升级，致使人道主义局势严重恶化，进一步违反了上述决议。	This confirms once again that the Houthi militias continue to defy international law's legitimacy and refuse to engage in the political process in Yemen, causing a serious escalation of the crisis in Yemen and a severe deterioration of the humanitarian situation, which consists of a further violation of the above-mentioned resolution.
各自空中业务管理的作用和职责	Respective roles and responsibilities for air operations management
37. 2014年，资发基金向77个金融服务提供者提供了支助，使它们的贷款和储蓄投资组合能够增值。	37. UNCDF provided support to 77 FSPs in 2014, allowing them to increase the value of their loan and savings portfolios.
按核定年度支出限额交付	Delivery against approved annual spending limits
但最近的研究和评估表明，外国恐怖主义战斗人员继续涌入冲突地区，需要针对这种现象采取更多的行动。	Recent studies and assessments, however, indicate that the flow of foreign terrorist fighters into conflict zones is continuing and that more needs to be done to tackle the phenomenon.
在其后的几个月中，会员国、联合国以及其他国际、区域和次区域组织为克服这种威胁做了许多工作。	In the months since, much has been accomplished by Member States, the United Nations and other international, regional and subregional organizations to counter the threat.
希族塞方这种狂妄的观点无视目前当地的现实情况，即塞浦路斯岛内存在两个独立的自治国家，各自在其领土内行使主权和管辖权。	This pretentious contention by the Greek Cypriot side ignores the present realities on the ground, namely, the existence of two independent, self-governing States on the island of Cyprus, each exercising sovereignty and jurisdiction within its respective territory.
52. 秘书长在拟议预算第24段指出，巴伦西亚设施的负载能力已经饱和，他已开始与东道国政府讨论，探索扩大现有能力的各种办法。	52. In paragraph 24 of the proposed budget, the Secretary-General indicates that the facility in Valencia has reached its maximum capacity and that he has initiated discussions with the host Government to explore options for expanding the current capacity.
经济及社会理事会，	The Economic and Social Council,
按照2013年12月20日和24日的换文所作安排，如有其他情况需要用到警卫队，特别是在这些区域，我将向安全理事会建议采取所需的更多措施。	In accordance with the arrangements in the exchange of letters of 20 and 24 December 2013, should other situations warrant the use of one or more additional guard unit(s), especially in regions other than Mogadishu, I will revert to the Council with advice on the supplementary measures that may be required.
在上述换文中，安理会表示注意到，除了非洲联盟驻索马里特派团(非索特派团)和索马里国家安全部队所提供的保护之外，还拟议安排建立一支联合国警卫队，使之成为总体安保构想的组成部分，为摩加迪沙的联索援助团和非索特派团支助办设施提供驻地保护。	As indicated in these letters, in addition to the protection provided by the African Union Mission in Somalia (AMISOM) and the Somali National Security Forces, the Council took note of the proposed arrangements for the establishment of a United Nations guard unit that would form part of the overall security concept by providing "inner ring" static protection for UNSOM and UNSOA facilities and installations in Mogadishu.
北部发展区咨询理事会将在主管机构和当局支持下，确保对该战略的执行情况进行监测。	Implementation of the Strategy shall be monitored by the Northern Development Zone Advisory Council, with the support of the competent institutions and authorities.
一艘土耳其近海补给舰侵犯塞浦路斯共和国领水，并非法使用非开放的阿莫霍斯托斯港，而且先前曾在塞浦路斯专属经济区内参加过非法地震勘测。	One Turkish offshore supply ship violated the territorial waters of the Republic of Cyprus and illegally used the closed port of Ammochostos, having previously participated in illegal seismic surveys within the exclusive economic zone of Cyprus.
行预咨委会注意到，截至2015年3月17日马里稳定团共有现金579 300 000美元，包括三个月的现金业务准备金147 285 400美元，剩余现金为432 014 600美元。	The Advisory Committee notes that, as at 17 March 2015, the cash position of the Mission was $579,300,000, covering the three-month operating cash reserve of $147,285,400, leaving $432,014,600 in remaining cash.
15. 也在6月1日举行的第2次会议上，不限成员名额政府专家会议继续审议议程项目6。	15. At its 2nd meeting, also on 1 June, the Open-ended Meeting of Governmental Experts continued its consideration of agenda item 6.
该研究所出版了一份手册，列入一些第一流的课程，并提供重要信息帮助了解法国的学术体系。	It publishes a handbook offering a selection of first-class academic programmes and providing key information to help understand the French academic system.
教育和培训方案也可以得益于使用新开发的信息技术(如"虚拟改进的现实"、电子学习工具、远距离学习程序)。	Education and training programmes can also benefit from the use of newly developed information technologies (e.g. "virtually improved reality", e-learning tools, distance-learning processes).
1. 在欧洲联盟一级：	1. At the European Union level:
根据《公约》附件二，缔约国的三分之二应构成法定人数。	In accordance with annex II to the Convention, two thirds of the States parties shall constitute a quorum.
这种安排既不妨碍也不影响未来的选举安排。	This arrangement does not prejudice or affect future arrangements for elections.
因此，叙利亚联盟呼吁安全理事会：	The Syrian Coalition therefore calls on the Security Council to:
这些措施具有成本效益，有助于挽救生命，防止和减少损失，并确保有效的复原和恢复。	Such measures are cost-effective and instrumental to save lives, prevent and reduce losses and ensure effective recovery and rehabilitation.
三. 指导原则	III. Guiding principles
在阿尔及尔谈判结束后，尼日尔总理布里吉·拉菲尼，3月8日在尼亚美主持举行协调会领导人会议，讨论和平协议草案。	Further to the conclusion of the talks in Algiers, the Prime Minister of the Niger, Mr. Brigi Raffini, facilitated a meeting of the Coordination leadership in Niamey on 8 March to discuss the draft peace agreement.
我们认为，这些数字被严重低估。	We believe these figures to be gross underestimations.
但是，自行预咨委会报告印发后，联利特派团告知秘书处，当地情况再次大大改变了其行动环境，具体而言：	Since the issuance of the report of the Advisory Committee, however, the Mission has informed the Secretariat that its operational environment has once again been significantly altered by the facts on the ground in that:
南非：* 决议草案	South Africa:* draft resolution
确认国内的核设施不生产用于核武器或其他核爆炸装置的裂变材料。	Confirmation that domestic nuclear facilities do not produce fissile material for use in nuclear weapons or other nuclear explosive devices.
其中部分风险包括：由于技术故障或操作者失误而导致的意外发射，对早期预警数据可能出现的错误判读导致有意却错误的发射，早期预警系统出现的失误和误报，以及未经授权的行为者，诸如叛乱武装部队、恐怖分子或网络攻击者使用核武器；	Some of the risks include inadvertent launches owing to technical failure or operator error, the possibility of misinterpretation of early warning data leading to intentional but erroneous launches, failures of and false reports by early warning systems and the use of nuclear weapons by unauthorized actors such as rogue military units, terrorists or cyberattackers;
安全理事会为此重申，它愿意对那些威胁南苏丹和平、安全或稳定的人实行制裁。	In this context the Security Council reiterates its willingness to impose sanctions against those who threaten the peace, security or stability of South Sudan.
23. 行预咨委会指出，会员国2014-2015两年期联合国经常预算分摊会费，超出秘书长目前提议的埃博拉特派团所需经费订正估计数1 360万美元以上。	23. The Advisory Committee notes that the assessment of the contributions of Member States to the United Nations regular budget for 2014-2015 exceeds the current proposal of the Secretary-General on revised estimates for the requirements of UNMEER by more than $13.6 million.
12. 再次请秘书长和参加组织其他行政首长充分协助检查组，及时提供其索要的所有信息；	12. Reiterates its request to the Secretary-General and the other executive heads of the participating organizations to fully assist the Unit with the timely provision of all information requested by it;
6. 着重指出有权获得关于公共政策、战略规划和决策进程的信息十分重要；	6. Underline the importance of the right to access information concerning public policies, strategic planning and decision-making processes;
《世界人权宣言》第13条规定了行动自由的权利。	Article 13 of the Universal Declaration of Human Rights provides for the right to freedom of movement.
谨通知你，在立陶宛担任主席期间，安全理事会计划就"冲突局势中保护记者"问题举行一次公开辩论。	I have the honour to inform you that, under the presidency of Lithuania, the Security Council is scheduled to hold an open debate on the protection of journalists in conflict situations.
此外，它加强了伙伴关系框架，通过特许合同使私营部门与发展政策接轨并成立了专门化的蒙古国开发银行以在预算资源之外调集新的发展筹资来源。	In addition, it strengthened partnership frameworks, linking the private sector with the development policy through concession agreements and establishing a specialized Development Bank of Mongolia to mobilize new development financing sources in addition to budget resources.
此外，国家大呼拉尔在其春季会议上通过了中期财政框架和年度准则，并在其基础上编制了年度总体和中央政府预算。	Furthermore, the medium-term fiscal framework and annual guidelines are adopted by the State Great Khural at its spring session and on the basis of those the annual general and central Government budgets are developed.
使联合国工作能够确保与新的国家发展计划中列明的国家优先事项和谐统一。	To allow the United Nations to ensure harmonization with national priorities articulated in the new national development plan.
回顾安理会在第2066(2012)号决议中认可秘书长提出的关于在2012年8月至2015年7月期间分三个阶段减少联合国利比里亚特派团(联利特派团)兵力的建议，	Recalling its endorsement, in resolution 2066 (2012), of the Secretary-General's recommendation to decrease the military strength of the United Nations Mission in Liberia (UNMIL) in three phases between August 2012 and July 2015,
